day_of_week,time
Sunday,22:09:34
Friday,00:18:37
Thursday,07:33:04
Thursday,22:24:51
Tuesday,04:24:26
Friday,17:43:06
Wednesday,20:41:13
Monday,23:51:46
Thursday,11:01:58
Wednesday,02:51:37
Thursday,05:02:05
Tuesday,18:42:11
Wednesday,16:27:56
Friday,16:01:01
Friday,16:35:38
Thursday,15:59:38
Monday,16:44:28
Monday,03:13:26
Friday,15:32:19
Sunday,20:28:47
Sunday,04:53:20
Monday,04:27:23
Wednesday,04:11:57
Tuesday,12:31:47
Sunday,09:30:04
Monday,18:20:32
Wednesday,03:58:23
Thursday,21:20:39
Thursday,15:18:49
Friday,14:55:44
Tuesday,03:10:13
Saturday,05:02:47
Thursday,00:43:09
Sunday,03:39:50
Monday,01:29:34
Monday,10:33:21
Sunday,16:38:49
Thursday,04:25:49
Tuesday,23:34:19
Friday,19:02:27
Saturday,17:08:21
Monday,22:15:59
Friday,20:29:14
Saturday,19:26:53
Thursday,19:04:30
Wednesday,10:02:03
Wednesday,11:21:31
Tuesday,02:36:34
Tuesday,23:42:06
Sunday,16:28:29
Thursday,22:25:25
Thursday,15:56:48
Monday,11:31:25
Monday,12:01:57
Tuesday,11:31:35
Tuesday,21:32:07
Wednesday,16:22:03
Friday,00:06:41
Saturday,01:20:07
Monday,01:34:04
Sunday,02:56:36
Wednesday,20:19:04
Tuesday,14:17:23
Tuesday,18:17:03
Saturday,01:11:18
Tuesday,00:00:50
Thursday,03:42:34
Sunday,22:54:08
Monday,05:07:32
Wednesday,18:19:12
Sunday,00:38:55
Wednesday,02:03:47
Saturday,15:25:00
Wednesday,17:50:16
Wednesday,12:41:14
Tuesday,16:58:56
Saturday,04:52:55
Sunday,00:33:05
Sunday,18:36:30
Tuesday,01:17:35
Monday,07:47:34
Friday,11:56:53
Monday,17:32:01
Wednesday,11:48:57
Tuesday,19:15:11
Monday,02:39:14
Tuesday,03:03:26
Monday,14:35:13
Friday,15:49:56
Friday,23:15:08
Monday,16:37:49
Tuesday,19:28:09
Sunday,00:11:49
Saturday,01:26:01
Friday,08:27:45
Tuesday,15:21:12
Tuesday,11:03:11
Wednesday,06:42:08
Monday,23:04:30
Wednesday,20:52:28
Friday,00:50:08
Monday,20:17:34
Monday,04:42:24
Saturday,07:53:24
Wednesday,20:01:47
Saturday,22:04:10
Saturday,01:53:11
Tuesday,16:32:57
Wednesday,05:01:38
Friday,01:44:15
Saturday,10:26:06
Friday,23:35:58
Tuesday,15:53:05
Sunday,22:17:33
Sunday,04:10:31
Sunday,13:21:41
Sunday,17:26:13
Friday,00:09:08
Saturday,20:25:57
Tuesday,14:22:00
Saturday,04:14:51
Monday,08:10:23
Sunday,14:48:41
Friday,03:53:53
Wednesday,08:27:38
Wednesday,15:11:26
Sunday,20:13:10
Saturday,02:24:17
Wednesday,17:55:00
Friday,06:00:15
Monday,15:59:05
Wednesday,18:35:53
Friday,21:22:03
Friday,06:33:14
Thursday,18:20:44
Monday,18:02:11
Friday,02:54:47
Wednesday,08:38:33
Friday,00:28:13
Monday,08:16:28
Tuesday,15:02:04
Monday,17:18:21
Monday,20:09:46
Thursday,02:35:51
Saturday,00:08:13
Monday,17:30:32
Thursday,21:21:22
Tuesday,16:08:00
Tuesday,02:05:54
Tuesday,18:13:12
Sunday,19:27:52
Tuesday,23:38:38
Wednesday,01:58:24
Tuesday,14:16:53
Tuesday,17:18:17
Saturday,23:18:42
Wednesday,21:53:13
Saturday,14:09:33
Monday,22:46:24
Wednesday,18:30:15
Monday,19:44:40
Monday,16:00:55
Saturday,00:57:33
Wednesday,03:09:43
Sunday,01:44:28
Friday,09:57:31
Thursday,14:10:23
Friday,01:04:23
Wednesday,05:52:50
Friday,23:28:14
Monday,18:01:47
Monday,04:45:09
Tuesday,02:44:12
Monday,20:37:37
Sunday,12:05:26
Tuesday,13:47:43
Thursday,07:29:23
Monday,17:12:38
Friday,13:06:12
Wednesday,20:54:41
Thursday,22:01:34
Friday,21:16:41
Saturday,04:28:48
Wednesday,15:21:30
Monday,16:43:01
Tuesday,20:38:20
Wednesday,00:42:54
Sunday,14:40:14
Thursday,20:42:04
Tuesday,01:29:53
Wednesday,04:04:55
Friday,18:21:11
Wednesday,00:46:35
Tuesday,00:28:12
Wednesday,22:49:50
Thursday,15:04:25
Friday,14:59:06
Friday,11:54:05
Wednesday,16:47:43
Thursday,21:09:45
Tuesday,21:47:42
Monday,15:36:39
Tuesday,18:12:14
Monday,23:01:04
Sunday,05:08:18
Saturday,18:16:27
Friday,03:42:12
Saturday,07:21:00
Wednesday,21:16:59
Tuesday,20:31:13
Tuesday,18:58:39
Tuesday,03:49:10
Monday,03:45:38
Sunday,14:34:24
Tuesday,12:31:36
Saturday,00:34:10
Sunday,06:11:14
Wednesday,05:50:37
Monday,06:24:13
Friday,19:48:53
Sunday,15:30:11
Wednesday,19:52:36
Saturday,21:24:20
Monday,18:59:01
Wednesday,15:22:45
Friday,00:45:16
Saturday,00:21:45
Sunday,06:16:17
Saturday,18:57:36
Sunday,17:52:02
Thursday,06:43:33
Monday,14:35:34
Friday,23:22:24
Thursday,20:21:56
Wednesday,16:01:58
Tuesday,21:01:43
Saturday,21:01:13
Tuesday,19:26:22
Sunday,23:38:30
Monday,00:30:11
Thursday,23:12:53
Sunday,06:53:20
Wednesday,02:42:54
Wednesday,14:41:37
Tuesday,23:35:05
Wednesday,21:05:10
Tuesday,18:27:38
Monday,18:02:29
Tuesday,12:02:25
Wednesday,21:21:47
Tuesday,01:11:45
Thursday,02:45:21
Saturday,20:44:00
Wednesday,09:38:11
Friday,20:10:53
Wednesday,14:31:35
Saturday,05:36:12
Sunday,05:00:00
Tuesday,19:22:39
Thursday,00:11:34
Sunday,21:58:18
Saturday,17:38:52
Tuesday,09:55:10
Tuesday,15:37:23
Thursday,17:44:56
Sunday,00:22:27
Sunday,11:31:40
Monday,19:47:08
Tuesday,00:35:23
Tuesday,04:42:54
Thursday,20:57:49
Monday,22:59:05
Friday,08:05:10
Wednesday,22:19:30
Friday,18:19:02
Thursday,02:58:27
Tuesday,09:02:04
Monday,16:15:02
Tuesday,11:35:52
Sunday,21:56:46
Wednesday,16:03:16
Friday,14:56:48
Tuesday,05:07:01
Monday,18:56:31
Wednesday,23:31:19
Wednesday,22:40:42
Wednesday,17:30:27
Thursday,13:41:27
Thursday,00:02:09
Monday,04:39:22
Wednesday,17:40:45
Monday,01:14:50
Sunday,21:31:17
Sunday,19:39:47
Sunday,18:03:39
Tuesday,19:46:48
Tuesday,20:13:17
Monday,16:35:03
Tuesday,20:53:05
Sunday,03:08:53
Monday,19:41:38
Wednesday,05:36:30
Monday,09:50:56
Tuesday,16:52:40
Wednesday,17:35:43
Thursday,09:58:51
Wednesday,10:32:00
Friday,21:17:25
Friday,19:39:02
Sunday,12:52:53
Friday,15:06:09
Thursday,03:08:29
Wednesday,09:04:30
Saturday,08:08:02
Sunday,22:05:51
Thursday,00:44:40
Thursday,12:11:26
Tuesday,19:51:33
Friday,16:56:08
Tuesday,16:09:36
Saturday,17:00:10
Wednesday,17:21:34
Wednesday,14:01:27
Thursday,07:45:56
Thursday,17:24:57
Sunday,12:15:26
Monday,21:44:56
Thursday,21:11:20
Monday,17:24:20
Sunday,06:45:55
Thursday,21:41:51
Wednesday,18:56:57
Friday,00:00:23
Monday,00:25:19
Friday,21:36:04
Thursday,02:56:36
Monday,16:32:39
Thursday,23:45:53
Friday,12:58:09
Sunday,17:21:28
Wednesday,13:31:10
Friday,08:32:33
Saturday,07:10:44
Thursday,20:08:30
Saturday,00:27:19
